,date,home_team,score,away_team
226,11-02-2024,Getafe,3 - 2,Celta
227,17-02-2024,Celta,1 - 2,Barcelona
228,25-02-2024,Cadiz,2 - 2,Celta
229,01-03-2024,Celta,1 - 0,Almeria
230,10-03-2024,Real Madrid,4 - 0,Celta
231,17-03-2024,Sevilla,? - ?,Celta
232,13-08-2023,Getafe,0 - 0,Barcelona
233,20-08-2023,Girona,3 - 0,Getafe
234,28-08-2023,Getafe,1 - 0,Alaves
235,02-09-2023,Real Madrid,2 - 1,Getafe
236,17-09-2023,Getafe,3 - 2,Osasuna
237,24-09-2023,Sociedad,4 - 3,Getafe
238,27-09-2023,Ath Bilbao,2 - 2,Getafe
239,30-09-2023,Getafe,0 - 0,Villarreal
240,08-10-2023,Celta,2 - 2,Getafe
241,21-10-2023,Getafe,1 - 1,Betis
242,28-10-2023,Mallorca,0 - 0,Getafe
243,06-11-2023,Getafe,1 - 0,Cadiz
244,11-11-2023,Granada,1 - 1,Getafe
245,25-11-2023,Getafe,2 - 1,Almeria
246,01-12-2023,Las Palmas,2 - 0,Getafe
247,08-12-2023,Getafe,1 - 0,Valencia
248,16-12-2023,Sevilla,0 - 3,Getafe
249,19-12-2023,Ath Madrid,3 - 3,Getafe
250,02-01-2024,Getafe,0 - 2,Vallecano
251,21-01-2024,Osasuna,3 - 2,Getafe
252,29-01-2024,Getafe,2 - 0,Granada
253,01-02-2024,Getafe,0 - 2,Real Madrid
254,04-02-2024,Betis,1 - 1,Getafe
255,11-02-2024,Getafe,3 - 2,Celta
256,16-02-2024,Villarreal,1 - 1,Getafe
257,24-02-2024,Barcelona,4 - 0,Getafe
258,02-03-2024,Getafe,3 - 3,Las Palmas
259,09-03-2024,Valencia,1 - 0,Getafe
260,16-03-2024,Getafe,? - ?,Girona
261,12-08-2023,Sociedad,1 - 1,Girona
262,20-08-2023,Girona,3 - 0,Getafe
263,26-08-2023,Sevilla,1 - 2,Girona
264,03-09-2023,Girona,1 - 0,Las Palmas
265,18-09-2023,Granada,2 - 4,Girona
266,23-09-2023,Girona,5 - 3,Mallorca
267,27-09-2023,Villarreal,1 - 2,Girona
268,30-09-2023,Girona,0 - 3,Real Madrid
269,07-10-2023,Cadiz,0 - 1,Girona
270,22-10-2023,Girona,5 - 2,Almeria
271,27-10-2023,Girona,1 - 0,Celta
272,04-11-2023,Osasuna,2 - 4,Girona
273,11-11-2023,Vallecano,1 - 2,Girona
274,27-11-2023,Girona,1 - 1,Ath Bilbao
275,02-12-2023,Girona,2 - 1,Valencia
276,10-12-2023,Barcelona,2 - 4,Girona
277,18-12-2023,Girona,3 - 0,Alaves
278,21-12-2023,Betis,1 - 1,Girona
279,03-01-2024,Girona,4 - 3,Ath Madrid
280,14-01-2024,Almeria,0 - 0,Girona
281,21-01-2024,Girona,5 - 1,Sevilla
282,28-01-2024,Celta,0 - 1,Girona
283,03-02-2024,Girona,0 - 0,Sociedad
284,10-02-2024,Real Madrid,4 - 0,Girona
285,19-02-2024,Ath Bilbao,3 - 2,Girona
286,26-02-2024,Girona,3 - 0,Vallecano
287,03-03-2024,Mallorca,1 - 0,Girona
288,09-03-2024,Girona,2 - 0,Osasuna
289,16-03-2024,Getafe,? - ?,Girona
290,14-08-2023,Ath Madrid,3 - 1,Granada
291,21-08-2023,Granada,0 - 2,Vallecano
292,26-08-2023,Granada,3 - 2,Mallorca
293,02-09-2023,Sociedad,5 - 3,Granada
294,18-09-2023,Granada,2 - 4,Girona
295,24-09-2023,Las Palmas,1 - 0,Granada
296,28-09-2023,Granada,1 - 1,Betis
297,01-10-2023,Almeria,3 - 3,Granada
298,08-10-2023,Granada,2 - 2,Barcelona
299,20-10-2023,Osasuna,2 - 0,Granada
300,30-10-2023,Granada,2 - 3,Villarreal
301,05-11-2023,Valencia,1 - 0,Granada
302,11-11-2023,Granada,1 - 1,Getafe
303,24-11-2023,Alaves,3 - 1,Granada
304,02-12-2023,Real Madrid,2 - 0,Granada
305,11-12-2023,Granada,1 - 1,Ath Bilbao
306,16-12-2023,Celta,1 - 0,Granada
307,19-12-2023,Granada,0 - 3,Sevilla
308,03-01-2024,Granada,2 - 0,Cadiz
309,13-01-2024,Betis,1 - 0,Granada
310,22-01-2024,Granada,0 - 1,Ath Madrid
311,29-01-2024,Getafe,2 - 0,Granada
312,03-02-2024,Granada,1 - 1,Las Palmas
313,11-02-2024,Barcelona,3 - 3,Granada
314,18-02-2024,Granada,1 - 1,Almeria
